run,temperature,accuracy,pred_rate_yes,direct_parse_rate
1,0.0,0.7377757352941177,0.2977941176470588,1.0
2,0.1,0.7415900735294118,0.30528492647058825,1.0
3,0.2,0.7428768382352942,0.30813419117647056,1.0
4,0.35,0.7380974264705882,0.3128216911764706,1.0
5,0.5,0.7388327205882353,0.3190716911764706,1.0
6,0.65,0.7251378676470588,0.32697610294117646,0.9999540441176471
7,0.8,0.7150275735294118,0.3341452205882353,0.9996783088235294
8,0.95,0.7065716911764706,0.34453125,0.9975643382352941
9,1.1,0.6954044117647059,0.34613970588235293,0.9870404411764706
10,1.25,0.6892463235294117,0.3526654411764706,0.9552389705882353
