row_index,swapped_factor,original_label,ld_gap
15704,resource_availability,1,3.75
20922,resource_availability,1,0.625
21357,intention,1,3.375
4021,physical_impossibility,1,2.25
21674,physical_impossibility,1,3.125
2911,redundancy,1,2.625
10134,redundancy,1,2.5
14609,physical_impossibility,1,5.9375
20197,redundancy,1,2.125
11828,role_obligation,1,5.6875
12167,consent,1,3.125
10177,resource_availability,1,2.0
16683,resource_availability,1,7.375
12871,prior_completion,1,5.25
2443,physical_impossibility,1,7.125
7118,harm,1,3.125
10603,delegation,1,4.4375
202,physical_impossibility,1,4.25
9677,harm,1,5.0
21655,temporal_conflict,1,5.25
2011,resource_availability,1,6.5
17517,physical_impossibility,1,2.375
18741,harm,1,4.0
18546,resource_availability,1,5.25
1380,harm,1,3.0
13326,temporal_conflict,1,2.75
2189,physical_impossibility,1,2.125
11434,prior_completion,1,1.625
10509,prior_completion,1,2.75
7428,role_obligation,1,2.625
8256,prior_completion,1,3.0
4525,resource_availability,1,2.125
8082,physical_impossibility,1,2.625
1065,prior_completion,1,5.1875
19642,resource_availability,1,2.5
20475,role_obligation,1,8.25
21232,role_obligation,1,3.875
3755,role_obligation,1,4.125
1697,prior_completion,1,3.375
16405,physical_impossibility,1,3.75
1,prior_completion,1,3.125
3208,role_obligation,1,1.5
11731,prior_completion,1,6.75
15948,physical_impossibility,1,4.25
7311,redundancy,1,4.375
19495,resource_availability,1,5.4375
6720,redundancy,1,5.0
14926,resource_availability,1,3.125
7895,resource_availability,1,3.875
13166,prior_completion,1,6.25
11559,physical_impossibility,1,4.5
21437,physical_impossibility,1,5.75
8403,physical_impossibility,1,4.8125
12480,physical_impossibility,1,3.0
8239,role_obligation,1,3.625
2380,physical_impossibility,1,2.25
15236,temporal_conflict,1,1.0
7616,prior_completion,1,1.5
695,role_obligation,1,2.75
11944,physical_impossibility,1,0.375
12579,prior_completion,1,2.25
19871,prior_completion,1,2.875
16654,prior_completion,1,2.125
9839,redundancy,1,2.0
20540,physical_impossibility,1,2.25
1458,physical_impossibility,1,3.25
1960,resource_availability,1,6.6875
14395,redundancy,1,2.375
19197,prior_completion,1,2.375
12777,role_obligation,1,2.875
5279,physical_impossibility,1,3.0
81,prior_completion,1,5.375
1842,prior_completion,1,5.25
14423,redundancy,1,2.125
18024,role_obligation,1,5.75
10955,prior_completion,1,2.125
347,role_obligation,1,4.125
19869,prior_completion,1,4.5
8673,temporal_conflict,1,1.5
947,prior_completion,1,6.375
2659,consent,1,0.875
19906,prior_completion,1,1.75
5046,redundancy,1,2.5
3925,redundancy,1,1.875
2736,physical_impossibility,1,0.875
17783,redundancy,1,2.125
19244,physical_impossibility,1,1.75
6765,prior_completion,1,3.375
9186,harm,1,2.5
7740,physical_impossibility,1,2.5
12598,prior_completion,1,3.125
7120,temporal_conflict,1,2.875
15093,physical_impossibility,1,3.5
9030,temporal_conflict,1,5.6875
6311,prior_completion,1,4.625
6149,physical_impossibility,1,2.375
20951,prior_completion,1,2.875
21535,resource_availability,1,1.875
13227,physical_impossibility,1,1.625
10601,prior_completion,1,1.875
9741,prior_completion,1,2.25
12015,redundancy,1,3.625
88,role_obligation,1,1.875
10570,temporal_conflict,1,1.375
326,prior_completion,1,2.625
16620,resource_availability,1,1.625
10227,resource_availability,1,1.375
17794,prior_completion,1,3.625
14318,redundancy,1,3.125
6221,physical_impossibility,1,2.375
7700,prior_completion,1,1.25
9114,physical_impossibility,1,3.5
20789,resource_availability,1,2.75
10638,temporal_conflict,1,0.875
17462,intention,1,4.5625
211,delegation,1,1.125
2322,prior_completion,1,2.125
6004,physical_impossibility,1,3.875
10547,physical_impossibility,1,4.5
19906,prior_completion,1,1.75
15535,delegation,1,2.25
17873,harm,1,1.375
9569,physical_impossibility,1,3.125
15844,temporal_conflict,1,2.5
16215,prior_completion,1,5.0
17551,resource_availability,1,4.125
1618,role_obligation,1,1.125
19439,prior_completion,1,1.625
18109,prior_completion,1,5.75
17396,physical_impossibility,1,4.5
6384,prior_completion,1,4.0
11440,temporal_conflict,1,0.75
829,prior_completion,1,1.875
20409,physical_impossibility,1,2.625
2372,resource_availability,1,2.25
14946,physical_impossibility,1,3.125
1854,prior_completion,1,0.375
11367,physical_impossibility,1,0.5
4708,prior_completion,1,3.75
2382,prior_completion,1,3.875
3733,prior_completion,1,4.5625
20195,prior_completion,1,3.375
4111,prior_completion,1,3.125
14216,role_obligation,1,2.125
3942,redundancy,1,4.25
6982,intention,1,6.0625
11043,prior_completion,1,3.0
6659,redundancy,1,1.25
5454,temporal_conflict,1,4.875
18650,physical_impossibility,1,1.5
6154,prior_completion,1,2.375
11352,role_obligation,1,5.1875
6601,physical_impossibility,1,1.875
12657,redundancy,1,1.5
19586,role_obligation,1,1.0
5696,physical_impossibility,1,3.125
8673,physical_impossibility,1,1.5
3094,prior_completion,1,2.375
16254,prior_completion,1,2.5
568,resource_availability,1,1.375
13012,physical_impossibility,1,5.125
2646,prior_completion,1,4.5
17549,physical_impossibility,1,0.75
13083,prior_completion,1,1.0
15737,role_obligation,1,5.0625
18778,prior_completion,1,2.625
13337,prior_completion,1,1.5
13755,physical_impossibility,1,2.875
3839,prior_completion,1,2.625
11447,prior_completion,1,1.875
6167,prior_completion,1,0.5
