run,temperature,accuracy,pred_rate_yes,direct_parse_rate
1,0.0,0.8945286750164799,0.4185893210283454,1.0
2,0.1,0.8971654581410679,0.42518127883981544,1.0
3,0.2,0.8852999340804218,0.4199077125906394,1.0
4,0.35,0.8767303889255109,0.41924851680949243,1.0
5,0.5,0.8701384311140409,0.4166117336849044,1.0
6,0.65,0.8457481872116018,0.4238628872775214,1.0
7,0.8,0.8193803559657218,0.4040870138431114,1.0
8,0.95,0.7857613711272248,0.4007910349373764,1.0
9,1.1,0.7738958470665788,0.4047462096242584,0.98681608437706
10,1.25,0.7435728411338167,0.4126565589980224,0.9551746868820039
